state,traditional_method,se.traditional_method,year,country,pred,pred_upper,pred_lower
Africa:Senegal:Ziguinchor,0.0394865525230454,0.0148495115655876,2012,Senegal,0.027758223404634,0.0419008658317307,0.0184783498880431
Africa:Senegal:Ziguinchor,,,2013,,0.0246010388996861,0.0476581446346449,0.0124919227735028
Africa:Senegal:Ziguinchor,0.0453722362319033,0.0258771972621343,2014,Senegal,0.0241262287552871,0.0381947789339519,0.015193205153588
Africa:Senegal:Ziguinchor,0.0424111241133962,0.0184870047460461,2015,Senegal,0.0316221005745426,0.0496834184204546,0.02007244138472
Africa:Senegal:Ziguinchor,0.0,0.0,2016,Senegal,0.0280890012057903,0.0470474036172275,0.0167736603680068
Africa:Senegal:Ziguinchor,0.012767407541463,0.0067068514222544,2017,Senegal,0.0180210808495533,0.0309156740147688,0.0104098129433543
Africa:Senegal:Ziguinchor,0.0087213645364675,0.009065964616263,2018,Senegal,0.02131557646781,0.0380450715995715,0.0117833097302418
Africa:Senegal:Ziguinchor,0.0070582978481014,0.007420802378832,2019,Senegal,0.0200542396632083,0.0380632716490962,0.0103453543587021
Africa:Senegal:Ziguinchor,,,2020,,0.0199960636114669,0.0469600096673173,0.0081491343143351
Africa:Senegal:Ziguinchor,,,2021,,0.0193581120442616,0.0480801133929516,0.007415508825153
Africa:Senegal:Ziguinchor,,,2022,,0.0187422965751125,0.0495663977519605,0.0066931426032536
Africa:Senegal:Ziguinchor,,,2023,,0.0181477883555927,0.0514047230407186,0.0059948800018898
Africa:Senegal:Ziguinchor,,,2024,,0.0175732458149594,0.0536296986712827,0.0053328524758094
Africa:Senegal:Ziguinchor,,,2025,,0.0170177592777579,0.0561980678915792,0.0047134035263497
Africa:Senegal:Kédougou,,,1990,,0.3666552805725441,0.640175785856002,0.1533283397178451
Africa:Senegal:Kédougou,,,1991,,0.3223698023129692,0.5778680995639146,0.1361724143642224
Africa:Senegal:Kédougou,,,1992,,0.2809423637016349,0.5154874808619185,0.1201085287621125
Africa:Senegal:Kédougou,0.275,0.069920873646062,1993,Senegal,0.2656937057596071,0.4114935287297906,0.1578276626192681
Africa:Senegal:Kédougou,,,1994,,0.2082746229148022,0.3981937155055466,0.0912584293218885
Africa:Senegal:Kédougou,,,1995,,0.1774958229798286,0.3455754471241977,0.0786844309432556
Africa:Senegal:Kédougou,,,1996,,0.1504609357755191,0.2975604923189761,0.0673941526644583
Africa:Senegal:Kédougou,,,1997,,0.1269956993347712,0.254457357204395,0.057375205056197
Africa:Senegal:Kédougou,,,1998,,0.1068226333845462,0.2164434889497905,0.0485734894051719
Africa:Senegal:Kédougou,,,1999,,0.0896163033183197,0.1832954063057998,0.0409856579853307
Africa:Senegal:Kédougou,,,2000,,0.0750358564109575,0.1546474917015002,0.0345134828751837
Africa:Senegal:Kédougou,,,2001,,0.0627447157872504,0.1301191248056773,0.0290017101072016
Africa:Senegal:Kédougou,,,2002,,0.052427624433808,0.1092850183964152,0.0243596133329613
Africa:Senegal:Kédougou,,,2003,,0.0437985914108158,0.0917015782958638,0.0204625180815011
Africa:Senegal:Kédougou,,,2004,,0.03660207639396,0.0769360292798226,0.0171919499243324
Africa:Senegal:Kédougou,0.0365638106005048,0.0250364567736371,2005,Senegal,0.0266691579320414,0.0447244355801275,0.0160061105956555
Africa:Senegal:Kédougou,,,2006,,0.0256387807323575,0.0542917168243519,0.0121186547065589
Africa:Senegal:Kédougou,,,2007,,0.021505087975654,0.0457151376058331,0.0101744946246157
