state,unmet_need,se.unmet_need,year,pred,pred_upper,pred_lower
Africa:Senegal:Diourbel:Bambey,,,1995,0.302394437528181,0.4190006033154075,0.2077105299144701
Africa:Senegal:Diourbel:Bambey,,,1996,0.299652695159275,0.4198391623841138,0.2028166383691598
Africa:Senegal:Diourbel:Bambey,,,1997,0.297914813695493,0.4201001653212725,0.199873311436978
Africa:Senegal:Diourbel:Bambey,,,1998,0.2971697843110335,0.4198442811101492,0.1988087792039247
Africa:Senegal:Diourbel:Bambey,,,1999,0.2974120934425917,0.4190874714343546,0.199573746083086
Africa:Senegal:Diourbel:Bambey,,,2000,0.29864168811854,0.4177475715866052,0.202236943749785
Africa:Senegal:Diourbel:Bambey,,,2001,0.3008636048564078,0.4156268610616971,0.2069933926620888
Africa:Senegal:Diourbel:Bambey,,,2002,0.3040880521805085,0.4123713058708976,0.2142079593373968
Africa:Senegal:Diourbel:Bambey,,,2003,0.3083307974720179,0.4074109347895701,0.2245252910848657
Africa:Senegal:Diourbel:Bambey,,,2004,0.3136149815445753,0.3994881938348787,0.2391709334503015
Africa:Senegal:Diourbel:Bambey,0.340808995226347,0.0408448944957138,2005,0.3201265745564469,0.3856252914201845,0.2612780878024043
Africa:Senegal:Diourbel:Bambey,,,2006,0.3135493596230413,0.3935277271750559,0.2434548869294773
Africa:Senegal:Diourbel:Bambey,,,2007,0.3082013510407208,0.393427944830433,0.2343429060954543
Africa:Senegal:Diourbel:Bambey,,,2008,0.3038962172225158,0.3873195840086404,0.2315744010511621
Africa:Senegal:Diourbel:Bambey,,,2009,0.30060577744452,0.3748740414145702,0.235393436268331
Africa:Senegal:Diourbel:Bambey,0.3054790257014333,0.0384590928261476,2010,0.2982275428571679,0.3526155132276564,0.2489730227215181
Africa:Senegal:Diourbel:Bambey,,,2011,0.2958769776522827,0.3536507633133561,0.243809127892899
Africa:Senegal:Diourbel:Bambey,0.2864308892662203,0.0210203343826112,2012,0.2948928343033332,0.3321303808554789,0.2601182754457356
Africa:Senegal:Diourbel:Bambey,,,2013,0.2952732101197334,0.3529692680957891,0.2434472245635628
Africa:Senegal:Diourbel:Bambey,0.3073128849807713,0.0506105584999051,2014,0.2970446730442851,0.3511281773075453,0.2483567352216807
Africa:Senegal:Diourbel:Bambey,0.3329738058773897,0.0535575620258359,2015,0.3002486908700157,0.3550073421616678,0.2511382180617568
Africa:Senegal:Diourbel:Bambey,0.2499999999999999,4.163336342344337e-17,2016,0.2777572412348633,0.331998310163036,0.2300212704491286
Africa:Senegal:Diourbel:Bambey,0.3087006810390439,0.0218065381780811,2017,0.277444666421081,0.3131253204907197,0.2445649932546248
Africa:Senegal:Diourbel:Bambey,0.1528054278128729,0.0415862160292149,2018,0.2307681261421674,0.2755837536966682,0.190819909247289
Africa:Senegal:Diourbel:Bambey,0.1805340436438061,0.0251148137842984,2019,0.2068975979065946,0.2510810908463844,0.1682856596181658
Africa:Senegal:Diourbel:Bambey,,,2020,0.2024566741903501,0.2694337997635803,0.1477484124747316
Africa:Senegal:Diourbel:Bambey,,,2021,0.1987202495022268,0.2827886650383781,0.1337909231968999
